id,gender,age,age_group,humor,vulnerability
usr_7b6463a41f,Women,40,Millennial (25–40),Humorous,Vulnerable
usr_41855fc328,Women,37,Millennial (25–40),Neutral,Neutral
usr_e4e1b0b7c4,Men,28,Millennial (25–40),Serious,Vulnerable
usr_2baef7757a,Men,25,Millennial (25–40),Serious,Vulnerable
usr_29f94af17f,Men,24,Gen Z (<25),Serious,Vulnerable
usr_bc8943c1f6,Men,29,Millennial (25–40),Neutral,Neutral
usr_07f65c8d00,Men,35,Millennial (25–40),Serious,Neutral
usr_9ea93eae4d,Men,35,Millennial (25–40),Humorous,Neutral
usr_05416c339c,Men,25,Millennial (25–40),Serious,Vulnerable
usr_2d2e80e632,Women,36,Millennial (25–40),Serious,Neutral
usr_b249276aff,Women,37,Millennial (25–40),Serious,Vulnerable
usr_28c25b686b,Men,34,Millennial (25–40),Neutral,Neutral
usr_af082a73b0,Men,27,Millennial (25–40),Neutral,Neutral
usr_de9267b485,Men,31,Millennial (25–40),Serious,Neutral
usr_fc017d82c9,Women,27,Millennial (25–40),Neutral,Neutral
usr_7abe6d26c5,Men,39,Millennial (25–40),Serious,Vulnerable
usr_55a09b3eb6,Men,24,Gen Z (<25),Serious,Vulnerable
usr_5c454914d9,Men,37,Millennial (25–40),Serious,Neutral
usr_bea9a0b648,Men,27,Millennial (25–40),Serious,Vulnerable
usr_1a96b561a7,Men,30,Millennial (25–40),Serious,Neutral
usr_1fb73e4836,Men,32,Millennial (25–40),Neutral,Vulnerable
usr_9e07ccdaa5,Men,34,Millennial (25–40),Neutral,Neutral
usr_f1fa07879a,Men,35,Millennial (25–40),Serious,Vulnerable
usr_2b3c84d078,Women,26,Millennial (25–40),Neutral,Neutral
usr_76e12533b0,Men,34,Millennial (25–40),Serious,Vulnerable
usr_e02afc30b9,Women,57,Boomer+ (57+),Serious,Neutral
usr_7beff3f364,Men,44,Gen X (41–56),Serious,Vulnerable
usr_ec665788c6,Men,33,Millennial (25–40),Neutral,Neutral
usr_1d7ce6b95c,Women,27,Millennial (25–40),Neutral,Neutral
usr_8c045e9342,Men,29,Millennial (25–40),Serious,Vulnerable
usr_482e943750,Men,34,Millennial (25–40),Neutral,Neutral
usr_c7b0287a2e,Men,29,Millennial (25–40),Neutral,Vulnerable
usr_2b2bbb68f8,Women,42,Gen X (41–56),Serious,Neutral
usr_8a66d8f970,Men,42,Gen X (41–56),Serious,Vulnerable
usr_dc07f2432e,Men,25,Millennial (25–40),Humorous,Neutral
usr_b8ae6cc066,Men,32,Millennial (25–40),Neutral,Vulnerable
usr_eafd834d0c,Men,36,Millennial (25–40),Neutral,Neutral
usr_5cb6a47d0b,Women,30,Millennial (25–40),Neutral,Neutral
usr_a64be45867,Men,35,Millennial (25–40),Serious,Neutral
usr_f93f3a791a,Fnb,49,Gen X (41–56),Serious,Vulnerable
usr_65da957f53,Men,38,Millennial (25–40),Neutral,Neutral
usr_086121af0b,Men,43,Gen X (41–56),Serious,Neutral
usr_d011560031,Men,29,Millennial (25–40),Neutral,Neutral
usr_4542e591bd,Men,40,Millennial (25–40),Serious,Neutral
usr_87ae7e8e85,Men,27,Millennial (25–40),Serious,Vulnerable
usr_c95879af82,Men,31,Millennial (25–40),Serious,Vulnerable
usr_3eb7c032c3,Men,41,Gen X (41–56),Serious,Vulnerable
usr_b1841bcdb4,Women,39,Millennial (25–40),Neutral,Neutral
usr_4c79d89899,Men,37,Millennial (25–40),Serious,Vulnerable
usr_ad37c5c484,Women,37,Millennial (25–40),Serious,Vulnerable
usr_e913712157,Men,43,Gen X (41–56),Serious,Neutral
usr_f9d016cd0b,Men,23,Gen Z (<25),Serious,Vulnerable
usr_dee75989a8,Men,32,Millennial (25–40),Humorous,Neutral
usr_f84a619384,Men,34,Millennial (25–40),Neutral,Neutral
usr_1ffec2b180,Men,27,Millennial (25–40),Serious,Neutral
usr_5807311f43,Men,45,Gen X (41–56),Serious,Vulnerable
usr_3f5b9628fc,Women,24,Gen Z (<25),Neutral,Neutral
usr_7bea345c09,Men,34,Millennial (25–40),Serious,Vulnerable
usr_f6860f2591,Men,55,Gen X (41–56),Neutral,Vulnerable
usr_32e6c20d7a,Fnb,37,Millennial (25–40),Serious,Vulnerable
usr_6c48cb097e,Men,41,Gen X (41–56),Neutral,Vulnerable
usr_74299a606e,Women,22,Gen Z (<25),Neutral,Neutral
usr_f99d050fdb,Men,38,Millennial (25–40),Serious,Vulnerable
usr_23903e6cac,Men,38,Millennial (25–40),Serious,Neutral
usr_1cbd809ad9,Men,31,Millennial (25–40),Serious,Vulnerable
usr_64aaeab250,Men,32,Millennial (25–40),Serious,Vulnerable
usr_f8b3720cf2,Men,25,Millennial (25–40),Neutral,Vulnerable
usr_13d918dd1a,Men,30,Millennial (25–40),Neutral,Vulnerable
usr_f3d4b8d4e3,Men,38,Millennial (25–40),Serious,Vulnerable
usr_582385d5f1,Women,34,Millennial (25–40),Serious,Vulnerable
usr_211c9de06e,Men,45,Gen X (41–56),Serious,Neutral
usr_a0ee1d96bb,Men,36,Millennial (25–40),Neutral,Neutral
usr_c5f611665c,Women,43,Gen X (41–56),Neutral,Vulnerable
usr_574998da53,Men,30,Millennial (25–40),Serious,Vulnerable
usr_2af60cf596,Men,36,Millennial (25–40),Neutral,Neutral
usr_5585b9cd21,Men,30,Millennial (25–40),Neutral,Vulnerable
usr_8f8b200a9a,Fmnb,27,Millennial (25–40),Serious,Vulnerable
usr_54d1128b0f,Women,40,Millennial (25–40),Neutral,Neutral
usr_4da5e702b2,Men,47,Gen X (41–56),Serious,Neutral
usr_6abed675ba,Women,37,Millennial (25–40),Serious,Vulnerable
usr_e546949ddc,Men,26,Millennial (25–40),Serious,Neutral
usr_ba83e1402b,Men,28,Millennial (25–40),Serious,Neutral
usr_e2e23a6e0e,Women,31,Millennial (25–40),Neutral,Neutral
usr_8e08991398,Men,21,Gen Z (<25),Neutral,Vulnerable
usr_0e7b7af163,Men,27,Millennial (25–40),Humorous,Vulnerable
usr_04732cb97b,Men,35,Millennial (25–40),Neutral,Vulnerable
usr_5f8a6bcd88,Men,34,Millennial (25–40),Neutral,Neutral
usr_b3064cef67,Men,29,Millennial (25–40),Serious,Vulnerable
usr_f0b57d5086,Men,26,Millennial (25–40),Neutral,Neutral
usr_175108006f,Men,30,Millennial (25–40),Neutral,Vulnerable
usr_02bf46161c,Men,33,Millennial (25–40),Serious,Vulnerable
usr_75b14a324e,Men,41,Gen X (41–56),Serious,Vulnerable
usr_67f17eb9e6,Men,34,Millennial (25–40),Serious,Vulnerable
usr_f57ea7ef5b,Women,41,Gen X (41–56),Serious,Vulnerable
usr_088df0aede,Men,27,Millennial (25–40),Serious,Neutral
usr_c5959f611c,Women,45,Gen X (41–56),Serious,Neutral
usr_612c0a9acf,Men,33,Millennial (25–40),Neutral,Vulnerable
usr_aff5b99157,Women,28,Millennial (25–40),Serious,Vulnerable
usr_84dc6a034d,Women,30,Millennial (25–40),Serious,Neutral
usr_f81ea6a0d9,Men,34,Millennial (25–40),Neutral,Neutral
usr_646043becc,Men,64,Boomer+ (57+),Serious,Vulnerable
usr_0434dfa104,Men,32,Millennial (25–40),Serious,Neutral
usr_aeebbaacd1,Men,37,Millennial (25–40),Neutral,Neutral
usr_fb725bc901,Women,37,Millennial (25–40),Neutral,Neutral
usr_fa70caacaa,Men,40,Millennial (25–40),Serious,Vulnerable
usr_2f8c26e8f2,Women,29,Millennial (25–40),Neutral,Neutral
usr_2f7814b980,Women,36,Millennial (25–40),Serious,Neutral
usr_0815a0bd72,Men,34,Millennial (25–40),Neutral,Neutral
usr_65ff9bd76e,Men,57,Boomer+ (57+),Serious,Vulnerable
usr_5a5a1b1133,Men,29,Millennial (25–40),Serious,Vulnerable
usr_7a4f5b5298,Women,27,Millennial (25–40),Neutral,Vulnerable
usr_5b651e5d8a,Women,35,Millennial (25–40),Serious,Vulnerable
usr_ce8d89cc9a,Men,24,Gen Z (<25),Neutral,Neutral
usr_0595390b2a,Men,33,Millennial (25–40),Serious,Neutral
usr_0ad3cadb21,Fnb,32,Millennial (25–40),Serious,Neutral
usr_b7dffef9dd,Men,39,Millennial (25–40),Serious,Vulnerable
usr_e2c15ff14e,Women,27,Millennial (25–40),Serious,Neutral
usr_1b22b88b8c,Men,27,Millennial (25–40),Serious,Neutral
usr_ec181fb208,Women,28,Millennial (25–40),Serious,Neutral
usr_8e01aabd7b,Women,35,Millennial (25–40),Neutral,Vulnerable
usr_3861e7bb44,Men,37,Millennial (25–40),Neutral,Neutral
usr_2a6d2a2d9e,Men,47,Gen X (41–56),Neutral,Vulnerable
usr_0ddd44ddab,Men,44,Gen X (41–56),Serious,Neutral
usr_f31f1ef82d,Men,34,Millennial (25–40),Serious,Vulnerable
usr_b0cbb72cba,Men,48,Gen X (41–56),Neutral,Neutral
usr_f8264ce8ea,Men,42,Gen X (41–56),Neutral,Neutral
usr_388e4d83da,Fnb,33,Millennial (25–40),Serious,Neutral
usr_f753263e7c,Women,35,Millennial (25–40),Serious,Vulnerable
usr_75f2661435,Mnb,30,Millennial (25–40),Serious,Vulnerable
usr_ad51f6fcde,Men,32,Millennial (25–40),Serious,Neutral
usr_62a591d357,Men,30,Millennial (25–40),Humorous,Vulnerable
usr_a5a2e6db18,Men,31,Millennial (25–40),Serious,Vulnerable
usr_043cba3ae0,Men,38,Millennial (25–40),Serious,Neutral
usr_7bae480261,Men,34,Millennial (25–40),Serious,Vulnerable
usr_a554d0a027,Men,30,Millennial (25–40),Serious,Neutral
usr_c171b85fd5,Women,35,Millennial (25–40),Serious,Vulnerable
usr_0cf7f3e282,Men,41,Gen X (41–56),Serious,Neutral
usr_5048f38377,Men,38,Millennial (25–40),Serious,Neutral
usr_087fbc195a,Women,38,Millennial (25–40),Serious,Vulnerable
usr_338869b614,Women,37,Millennial (25–40),Neutral,Neutral
usr_7c05cf7f82,Men,23,Gen Z (<25),Neutral,Vulnerable
usr_dab34ae3eb,Men,32,Millennial (25–40),Serious,Vulnerable
usr_91520afa39,Men,31,Millennial (25–40),Serious,Vulnerable
usr_472fe7a708,Women,35,Millennial (25–40),Serious,Neutral
usr_eeb1bca3df,Women,26,Millennial (25–40),Serious,Vulnerable
usr_720699db56,Women,31,Millennial (25–40),Neutral,Neutral
usr_48faf2fb83,Men,28,Millennial (25–40),Serious,Neutral
usr_5404818004,Men,49,Gen X (41–56),Neutral,Neutral
usr_e6786b8495,Men,31,Millennial (25–40),Serious,Neutral
usr_f93929ccfe,Men,35,Millennial (25–40),Serious,Neutral
usr_83dfcfab4f,Men,45,Gen X (41–56),Serious,Vulnerable
usr_2a41c33405,Women,42,Gen X (41–56),Serious,Neutral
usr_e85937d6f1,Men,33,Millennial (25–40),Humorous,Neutral
usr_6d33a4613e,Women,36,Millennial (25–40),Serious,Neutral
usr_73fb709f6f,Men,33,Millennial (25–40),Neutral,Neutral
usr_e77eb2eb7d,Men,22,Gen Z (<25),Serious,Vulnerable
usr_8b8fa88e38,Men,30,Millennial (25–40),Humorous,Neutral
usr_afcc6e0593,Men,31,Millennial (25–40),Serious,Neutral
usr_f6f09aa842,Men,28,Millennial (25–40),Serious,Vulnerable
usr_eca6230bc7,Women,23,Gen Z (<25),Serious,Neutral
usr_455248a8c2,Women,31,Millennial (25–40),Serious,Vulnerable
usr_cb1f4df9ab,Women,40,Millennial (25–40),Serious,Vulnerable
usr_9114a08dc7,Women,40,Millennial (25–40),Serious,Neutral
usr_ff0b88a130,Men,40,Millennial (25–40),Serious,Vulnerable
usr_8cff506150,Women,44,Gen X (41–56),Neutral,Neutral
usr_9125241386,Women,24,Gen Z (<25),Serious,Vulnerable
usr_edae9f254b,Men,36,Millennial (25–40),Serious,Neutral
usr_3386c9dc77,Women,44,Gen X (41–56),Neutral,Neutral
usr_210314bef7,Women,41,Gen X (41–56),Serious,Vulnerable
usr_6c237e0590,Nbm,38,Millennial (25–40),Serious,Neutral
usr_c4f7451f7e,Men,32,Millennial (25–40),Neutral,Neutral
usr_0ea1d233e4,Women,25,Millennial (25–40),Serious,Vulnerable
usr_a4ecbea0a1,Women,31,Millennial (25–40),Humorous,Vulnerable
usr_7a86b09354,Women,32,Millennial (25–40),Neutral,Neutral
usr_145d4094eb,Men,49,Gen X (41–56),Neutral,Neutral
usr_4cabf006ea,Women,46,Gen X (41–56),Serious,Vulnerable
usr_002801e2b5,Women,28,Millennial (25–40),Neutral,Neutral
usr_92a91ee01b,Women,41,Gen X (41–56),Neutral,Vulnerable
usr_096c1fc308,Women,40,Millennial (25–40),Neutral,Neutral
usr_8f91ad41be,Women,18,Gen Z (<25),Neutral,Neutral
usr_772c480194,Women,40,Millennial (25–40),Neutral,Neutral
usr_a3452c4d95,Men,32,Millennial (25–40),Neutral,Vulnerable
usr_a316ad1ed3,Men,23,Gen Z (<25),Neutral,Neutral
usr_f6e0013eab,Men,31,Millennial (25–40),Serious,Neutral
usr_c0b3a89595,Men,33,Millennial (25–40),Serious,Neutral
usr_527d3d9c91,Men,34,Millennial (25–40),Serious,Vulnerable
usr_66fbc11cf7,Women,37,Millennial (25–40),Serious,Neutral
usr_c77d61e581,Nb,39,Millennial (25–40),Neutral,Neutral
usr_9c7bd4050f,Men,22,Gen Z (<25),Serious,Vulnerable
usr_5675b58976,Women,38,Millennial (25–40),Serious,Neutral
usr_a685339a27,Men,33,Millennial (25–40),Serious,Neutral
usr_169fe68959,Men,22,Gen Z (<25),Serious,Vulnerable
usr_3471ae2b14,Women,33,Millennial (25–40),Serious,Vulnerable
usr_076c084131,Men,32,Millennial (25–40),Neutral,Vulnerable
usr_75f07f3e1a,Men,27,Millennial (25–40),Serious,Vulnerable
usr_6220c53bd4,Men,27,Millennial (25–40),Serious,Neutral
usr_df563a8c21,Men,34,Millennial (25–40),Neutral,Neutral
usr_8d798f2ac8,Women,64,Boomer+ (57+),Neutral,Neutral
usr_36af460751,Men,24,Gen Z (<25),Neutral,Neutral
usr_870452fa93,Men,32,Millennial (25–40),Neutral,Neutral
usr_ca9dfe4c14,Women,22,Gen Z (<25),Serious,Vulnerable
usr_bacc2418a5,Men,32,Millennial (25–40),Neutral,Neutral
usr_ba9d8d1b92,Men,24,Gen Z (<25),Neutral,Neutral
usr_8ab426951e,Women,35,Millennial (25–40),Neutral,Vulnerable
usr_52bf981f18,Men,34,Millennial (25–40),Neutral,Vulnerable
usr_80c22d2507,Men,31,Millennial (25–40),Serious,Neutral
usr_df98b38087,Women,36,Millennial (25–40),Neutral,Neutral
usr_b1185a9599,Men,26,Millennial (25–40),Humorous,Vulnerable
usr_f40be05c5f,Men,32,Millennial (25–40),Neutral,Neutral
usr_321cbee0ad,Women,37,Millennial (25–40),Serious,Vulnerable
usr_90a20138cd,Women,36,Millennial (25–40),Serious,Neutral
usr_3b7ae0f59b,Men,43,Gen X (41–56),Neutral,Neutral
usr_2cf51205d0,Men,25,Millennial (25–40),Neutral,Vulnerable
usr_564edb5079,Men,30,Millennial (25–40),Neutral,Vulnerable
usr_c4a83cbbdf,Men,31,Millennial (25–40),Serious,Vulnerable
usr_657eb75a0a,Men,27,Millennial (25–40),Serious,Vulnerable
usr_6604a51053,Men,24,Gen Z (<25),Neutral,Neutral
usr_370e9dbeca,Women,24,Gen Z (<25),Serious,Vulnerable
usr_f524dc772d,Men,40,Millennial (25–40),Neutral,Neutral
usr_655f1ed2c4,Women,42,Gen X (41–56),Neutral,Neutral
usr_60221ab882,Women,31,Millennial (25–40),Serious,Vulnerable
usr_5d19c07e30,Men,25,Millennial (25–40),Neutral,Neutral
usr_4fc014d179,Men,29,Millennial (25–40),Serious,Vulnerable
usr_da31a54b44,Men,31,Millennial (25–40),Humorous,Neutral
usr_91f5407cf3,Women,24,Gen Z (<25),Neutral,Neutral
usr_91a4ee8192,Men,25,Millennial (25–40),Serious,Neutral
usr_77683bbfb9,Men,33,Millennial (25–40),Neutral,Neutral
usr_2d35fdfcae,Men,39,Millennial (25–40),Serious,Neutral
usr_b4914ffd72,Men,32,Millennial (25–40),Serious,Neutral
usr_e095117d98,Men,37,Millennial (25–40),Neutral,Neutral
usr_e10455e54d,Men,44,Gen X (41–56),Serious,Vulnerable
usr_b388085011,Men,38,Millennial (25–40),Serious,Neutral
usr_174539e3d3,Men,24,Gen Z (<25),Serious,Vulnerable
usr_2d1d90850d,Men,28,Millennial (25–40),Serious,Vulnerable
usr_1c94368b35,Women,28,Millennial (25–40),Serious,Neutral
usr_b59b3aa4ec,Men,56,Gen X (41–56),Neutral,Neutral
usr_aef0bc1982,Men,31,Millennial (25–40),Neutral,Neutral
usr_51bb038ab9,Women,39,Millennial (25–40),Serious,Vulnerable
usr_bc27cf28c9,Men,26,Millennial (25–40),Serious,Vulnerable
usr_dfe670cf74,Men,32,Millennial (25–40),Neutral,Neutral
usr_aca50c1241,Nb,35,Millennial (25–40),Serious,Neutral
usr_72ee7b01b7,Women,50,Gen X (41–56),Serious,Vulnerable
usr_340e6cc34d,Men,70,Boomer+ (57+),Neutral,Neutral
usr_30ff43ad3f,Women,59,Boomer+ (57+),Humorous,Neutral
usr_c2d0e67189,Men,28,Millennial (25–40),Neutral,Neutral
usr_d9c2875f2b,Men,39,Millennial (25–40),Neutral,Vulnerable
usr_d78fe9d889,Men,27,Millennial (25–40),Neutral,Vulnerable
usr_d97a99c3b7,Men,35,Millennial (25–40),Neutral,Neutral
usr_58fe5bb1ed,Men,62,Boomer+ (57+),Serious,Neutral
usr_e180f374be,Women,39,Millennial (25–40),Serious,Neutral
usr_298b38ef40,Men,28,Millennial (25–40),Neutral,Neutral
usr_4b7db33b94,Women,36,Millennial (25–40),Serious,Neutral
usr_8e94444f6f,Women,24,Gen Z (<25),Serious,Neutral
usr_bc41567741,Nbm,33,Millennial (25–40),Neutral,Neutral
usr_bac751c66d,Men,46,Gen X (41–56),Neutral,Neutral
usr_fd38a10137,Men,35,Millennial (25–40),Neutral,Neutral
usr_ad60c5f6a0,Women,33,Millennial (25–40),Neutral,Vulnerable
usr_b25bc47508,Men,26,Millennial (25–40),Neutral,Neutral
usr_8bec96c14b,Men,28,Millennial (25–40),Serious,Vulnerable
usr_d8d708ea6b,Men,31,Millennial (25–40),Neutral,Neutral
usr_7a0143fed6,Women,30,Millennial (25–40),Serious,Vulnerable
usr_65721f6fe3,Men,25,Millennial (25–40),Neutral,Neutral
usr_80304fd0b5,Men,24,Gen Z (<25),Neutral,Neutral
usr_d76a063805,Men,27,Millennial (25–40),Neutral,Neutral
usr_33e12a81c2,Women,24,Gen Z (<25),Serious,Neutral
usr_95a9b10018,Men,22,Gen Z (<25),Neutral,Neutral
usr_9c3df10c8e,Women,31,Millennial (25–40),Serious,Vulnerable
usr_4ca3dd5a11,Men,29,Millennial (25–40),Serious,Vulnerable
usr_3da85ea3ec,Men,34,Millennial (25–40),Serious,Vulnerable
usr_5d087ea782,Men,29,Millennial (25–40),Serious,Vulnerable
usr_028ffb91eb,Nbm,29,Millennial (25–40),Serious,Vulnerable
usr_88c85ecc38,Men,29,Millennial (25–40),Serious,Vulnerable
usr_66a6bdc77b,Men,29,Millennial (25–40),Serious,Vulnerable
usr_ab89eb0bb3,Men,32,Millennial (25–40),Humorous,Neutral
usr_c5a8d4db9f,Men,29,Millennial (25–40),Neutral,Vulnerable
usr_7fd82cd0b4,Men,43,Gen X (41–56),Serious,Vulnerable
usr_81ad59323d,Men,38,Millennial (25–40),Serious,Vulnerable
usr_107b467dd6,Women,34,Millennial (25–40),Neutral,Neutral
usr_a3164c38df,Women,32,Millennial (25–40),Serious,Vulnerable
usr_98a3a766b8,Men,33,Millennial (25–40),Neutral,Neutral
usr_dc0f7360e9,Men,29,Millennial (25–40),Serious,Neutral
usr_6c464a7f53,Men,35,Millennial (25–40),Serious,Neutral
usr_e8711d37b3,Men,31,Millennial (25–40),Serious,Vulnerable
usr_225ba0249f,Women,32,Millennial (25–40),Neutral,Neutral
usr_5279084c35,Men,30,Millennial (25–40),Serious,Vulnerable
usr_58c9686525,Men,30,Millennial (25–40),Neutral,Neutral
usr_781710d5f3,Nb,29,Millennial (25–40),Serious,Vulnerable
usr_adef7c72b1,Men,34,Millennial (25–40),Neutral,Neutral
usr_687f8c5cbf,Men,34,Millennial (25–40),Neutral,Neutral
usr_75045befd8,Women,24,Gen Z (<25),Neutral,Neutral
usr_f12e7c6cb0,Men,27,Millennial (25–40),Neutral,Neutral
usr_466c43842b,Nb,38,Millennial (25–40),Serious,Neutral
usr_48e483544a,Men,35,Millennial (25–40),Serious,Vulnerable
usr_448a88249a,Men,39,Millennial (25–40),Serious,Vulnerable
